DATE,CPIAUCSL
1947-01-01,21.48
1947-01-02,21.469183080162573
1947-01-03,21.45974598555891
1947-01-04,21.451651720812205
1947-01-05,21.44486329054565
1947-01-06,21.439343699382437
1947-01-07,21.435055951945774
1947-01-08,21.431963052858844
1947-01-09,21.430028006744845
1947-01-10,21.42921381822697
1947-01-11,21.42948349192842
1947-01-12,21.43080003247238
1947-01-13,21.433126444482056
1947-01-14,21.43642573258063
1947-01-15,21.440660901391315
1947-01-16,21.44579495553729
1947-01-17,21.451790899641754
1947-01-18,21.458611738327903
1947-01-19,21.466220476218933
1947-01-20,21.474580117938036
1947-01-21,21.483653668108406
1947-01-22,21.493404131353245
1947-01-23,21.503794512295737
1947-01-24,21.51478781555909
1947-01-25,21.52634704576649
1947-01-26,21.538435207541127
1947-01-27,21.55101530550621
1947-01-28,21.56405034428492
1947-01-29,21.577503328500462
1947-01-30,21.591337262776026
1947-01-31,21.605515151734807
1947-02-01,21.62
1947-02-02,21.6347548121948
1947-02-03,21.649742592942406
1947-02-04,21.664926346866004
1947-02-05,21.680269078588804
1947-02-06,21.69573379273398
1947-02-07,21.71128349392474
1947-02-08,21.72688118678428
1947-02-09,21.74248987593579
1947-02-10,21.758072566002465
1947-02-11,21.7735922616075
1947-02-12,21.78901196737409
1947-02-13,21.804294687925434
1947-02-14,21.81940342788472
1947-02-15,21.83430119187515
1947-02-16,21.848950984519917
1947-02-17,21.86331581044221
1947-02-18,21.877358674265228
1947-02-19,21.891042580612165
1947-02-20,21.904330534106215
1947-02-21,21.91718553937058
1947-02-22,21.92957060102845
1947-02-23,21.94144872370301
1947-02-24,21.952782912017472
1947-02-25,21.963536170595024
1947-02-26,21.973671504058853
1947-02-27,21.983151917032163
1947-02-28,21.99194041413815
1947-03-01,22.0
1947-03-02,22.007304203882292
1947-03-03,22.013868653615095
1947-03-04,22.019719501669858
1947-03-05,22.024882900518026
1947-03-06,22.029385002631056
1947-03-07,22.03325196048039
1947-03-08,22.036509926537477
1947-03-09,22.039185053273766
1947-03-10,22.04130349316071
1947-03-11,22.042891398669752
1947-03-12,22.043974922272337
1947-03-13,22.044580216439925
1947-03-14,22.04473343364396
1947-03-15,22.044460726355886
1947-03-16,22.043788247047154
1947-03-17,22.042742148189213
1947-03-18,22.041348582253512
1947-03-19,22.039633701711494
1947-03-20,22.03762365903462
1947-03-21,22.035344606694327
1947-03-22,22.032822697162068
1947-03-23,22.03008408290929
1947-03-24,22.027154916407444
1947-03-25,22.02406135012798
1947-03-26,22.02082953654234
1947-03-27,22.017485628121978
1947-03-28,22.014055777338335
1947-03-29,22.01056613666287
1947-03-30,22.00704285856703
1947-03-31,22.003512095522254
1947-04-01,22.0
1947-04-02,21.996529649146133
1947-04-03,21.99311181880419
1947-04-04,21.989754209492148
1947-04-05,21.986464521727953
1947-04-06,21.983250456029577
1947-04-07,21.980119712914977
1947-04-08,21.977079992902123
1947-04-09,21.974138996508966
1947-04-10,21.97130442425348
1947-04-11,21.968583976653616
1947-04-12,21.965985354227342
1947-04-13,21.96351625749262
1947-04-14,21.961184386967417
1947-04-15,21.958997443169686
1947-04-16,21.956963126617396
1947-04-17,21.955089137828505
1947-04-18,21.953383177320976
1947-04-19,21.951852945612774
1947-04-20,21.950506143221865
1947-04-21,21.9493504706662
1947-04-22,21.948393628463748
1947-04-23,21.94764331713247
1947-04-24,21.94710723719033
1947-04-25,21.94679308915529
1947-04-26,21.94670857354531
1947-04-27,21.94686139087835
1947-04-28,21.94725924167238
1947-04-29,21.947909826445354
1947-04-30,21.948820845715243
1947-05-01,21.95
1947-05-02,21.951452251984815
1947-05-03,21.95317161302378
1947-05-04,21.955149356638202
1947-05-05,21.95737675634939
1947-05-06,21.959845085678655
1947-05-07,21.962545618147313
1947-05-08,21.96546962727667
1947-05-09,21.968608386588038
1947-05-10,21.971953169602727
1947-05-11,21.97549524984205
1947-05-12,21.97922590082732
1947-05-13,21.983136396079843
1947-05-14,21.987218009120934
1947-05-15,21.991462013471903
1947-05-16,21.99585968265406
1947-05-17,22.00040229018872
1947-05-18,22.005081109597185
1947-05-19,22.009887414400776
1947-05-20,22.014812478120795
1947-05-21,22.01984757427856
1947-05-22,22.024983976395383
1947-05-23,22.03021295799256
1947-05-24,22.03552579259142
1947-05-25,22.040913753713273
1947-05-26,22.04636811487942
1947-05-27,22.05188014961118
1947-05-28,22.057441131429858
1947-05-29,22.063042333856767
1947-05-30,22.06867503041322
1947-05-31,22.07433049462053
1947-06-01,22.08
1947-06-02,22.085675437444344
1947-06-03,22.091351167331894
1947-06-04,22.097022167412366
1947-06-05,22.102683415435482
1947-06-06,22.108329889150966
1947-06-07,22.11395656630855
1947-06-08,22.119558424657946
1947-06-09,22.12513044194889
1947-06-10,22.13066759593109
1947-06-11,22.136164864354278
1947-06-12,22.141617224968183
1947-06-13,22.14701965552252
1947-06-14,22.15236713376702
1947-06-15,22.1576546374514
1947-06-16,22.16287714432539
1947-06-17,22.1680296321387
1947-06-18,22.173107078641074
1947-06-19,22.17810446158222
1947-06-20,22.18301675871187
1947-06-21,22.187838947779742
1947-06-22,22.19256600653556
1947-06-23,22.197192912729054
1947-06-24,22.201714644109938
1947-06-25,22.206126178427947
1947-06-26,22.210422493432795
1947-06-27,22.214598566874212
1947-06-28,22.218649376501915
1947-06-29,22.22256990006563
1947-06-30,22.226355115315087
1947-07-01,22.23
1947-07-02,22.23350470168421
1947-07-03,22.236890047188023
1947-07-04,22.240182033145835
1947-07-05,22.24340665619207
1947-07-06,22.24658991296113
