DATE,USTRADE
1939-01-01,3107.8
1939-01-02,3108.251612903226
1939-01-03,3108.703225806452
1939-01-04,3109.1548387096777
1939-01-05,3109.6064516129036
1939-01-06,3110.0580645161294
1939-01-07,3110.509677419355
1939-01-08,3110.9612903225807
1939-01-09,3111.4129032258065
1939-01-10,3111.8645161290324
1939-01-11,3112.3161290322582
1939-01-12,3112.767741935484
1939-01-13,3113.21935483871
1939-01-14,3113.670967741936
1939-01-15,3114.1225806451616
1939-01-16,3114.5741935483875
1939-01-17,3115.025806451613
1939-01-18,3115.4774193548387
1939-01-19,3115.9290322580646
1939-01-20,3116.3806451612904
1939-01-21,3116.8322580645163
1939-01-22,3117.283870967742
1939-01-23,3117.735483870968
1939-01-24,3118.187096774194
1939-01-25,3118.6387096774197
1939-01-26,3119.0903225806455
1939-01-27,3119.541935483871
1939-01-28,3119.993548387097
1939-01-29,3120.4451612903226
1939-01-30,3120.8967741935485
1939-01-31,3121.3483870967743
1939-02-01,3121.8
1939-02-02,3122.4392857142857
1939-02-03,3123.0785714285716
1939-02-04,3123.717857142857
1939-02-05,3124.357142857143
1939-02-06,3124.9964285714286
1939-02-07,3125.6357142857146
1939-02-08,3126.275
1939-02-09,3126.9142857142856
1939-02-10,3127.5535714285716
1939-02-11,3128.192857142857
1939-02-12,3128.832142857143
1939-02-13,3129.4714285714285
1939-02-14,3130.1107142857145
1939-02-15,3130.75
1939-02-16,3131.3892857142855
1939-02-17,3132.0285714285715
1939-02-18,3132.667857142857
1939-02-19,3133.307142857143
1939-02-20,3133.9464285714284
1939-02-21,3134.5857142857144
1939-02-22,3135.225
1939-02-23,3135.8642857142854
1939-02-24,3136.5035714285714
1939-02-25,3137.142857142857
1939-02-26,3137.782142857143
1939-02-27,3138.4214285714284
1939-02-28,3139.0607142857143
1939-03-01,3139.7
1939-03-02,3140.1870967741934
1939-03-03,3140.674193548387
1939-03-04,3141.1612903225805
1939-03-05,3141.648387096774
1939-03-06,3142.1354838709676
1939-03-07,3142.622580645161
1939-03-08,3143.1096774193547
1939-03-09,3143.5967741935483
1939-03-10,3144.083870967742
1939-03-11,3144.5709677419354
1939-03-12,3145.058064516129
1939-03-13,3145.5451612903225
1939-03-14,3146.032258064516
1939-03-15,3146.5193548387097
1939-03-16,3147.006451612903
1939-03-17,3147.493548387097
1939-03-18,3147.9806451612903
1939-03-19,3148.467741935484
1939-03-20,3148.9548387096775
1939-03-21,3149.441935483871
1939-03-22,3149.9290322580646
1939-03-23,3150.416129032258
1939-03-24,3150.9032258064517
1939-03-25,3151.3903225806453
1939-03-26,3151.877419354839
1939-03-27,3152.3645161290324
1939-03-28,3152.851612903226
1939-03-29,3153.3387096774195
1939-03-30,3153.825806451613
1939-03-31,3154.3129032258066
1939-04-01,3154.8
1939-04-02,3154.6966666666667
1939-04-03,3154.5933333333337
1939-04-04,3154.4900000000002
1939-04-05,3154.3866666666668
1939-04-06,3154.2833333333333
1939-04-07,3154.1800000000003
1939-04-08,3154.076666666667
1939-04-09,3153.9733333333334
1939-04-10,3153.87
1939-04-11,3153.766666666667
1939-04-12,3153.6633333333334
1939-04-13,3153.56
1939-04-14,3153.4566666666665
1939-04-15,3153.3533333333335
1939-04-16,3153.25
1939-04-17,3153.1466666666665
1939-04-18,3153.0433333333335
1939-04-19,3152.94
1939-04-20,3152.8366666666666
1939-04-21,3152.733333333333
1939-04-22,3152.63
1939-04-23,3152.5266666666666
1939-04-24,3152.423333333333
1939-04-25,3152.3199999999997
1939-04-26,3152.2166666666667
1939-04-27,3152.1133333333332
1939-04-28,3152.0099999999998
1939-04-29,3151.9066666666663
1939-04-30,3151.8033333333333
1939-05-01,3151.7
1939-05-02,3151.738709677419
1939-05-03,3151.7774193548385
1939-05-04,3151.816129032258
1939-05-05,3151.854838709677
1939-05-06,3151.8935483870964
1939-05-07,3151.932258064516
1939-05-08,3151.9709677419355
1939-05-09,3152.009677419355
1939-05-10,3152.048387096774
1939-05-11,3152.0870967741935
1939-05-12,3152.125806451613
1939-05-13,3152.164516129032
1939-05-14,3152.2032258064514
1939-05-15,3152.2419354838707
1939-05-16,3152.28064516129
1939-05-17,3152.31935483871
1939-05-18,3152.358064516129
1939-05-19,3152.3967741935485
1939-05-20,3152.435483870968
1939-05-21,3152.474193548387
1939-05-22,3152.5129032258064
1939-05-23,3152.5516129032258
1939-05-24,3152.590322580645
1939-05-25,3152.6290322580644
1939-05-26,3152.6677419354837
1939-05-27,3152.7064516129035
1939-05-28,3152.745161290323
1939-05-29,3152.783870967742
1939-05-30,3152.8225806451615
1939-05-31,3152.8612903225808
1939-06-01,3152.9
1939-06-02,3153.33
1939-06-03,3153.76
1939-06-04,3154.19
1939-06-05,3154.62
1939-06-06,3155.05
1939-06-07,3155.48
1939-06-08,3155.9100000000003
1939-06-09,3156.34
1939-06-10,3156.77
1939-06-11,3157.2000000000003
1939-06-12,3157.63
1939-06-13,3158.06
1939-06-14,3158.4900000000002
1939-06-15,3158.92
1939-06-16,3159.3500000000004
1939-06-17,3159.78
1939-06-18,3160.21
1939-06-19,3160.6400000000003
1939-06-20,3161.07
1939-06-21,3161.5
1939-06-22,3161.9300000000003
1939-06-23,3162.36
1939-06-24,3162.79
1939-06-25,3163.2200000000003
1939-06-26,3163.65
1939-06-27,3164.0800000000004
1939-06-28,3164.51
1939-06-29,3164.94
1939-06-30,3165.3700000000003
1939-07-01,3165.8
1939-07-02,3165.803225806452
1939-07-03,3165.8064516129034
1939-07-04,3165.809677419355
1939-07-05,3165.8129032258066
